Stock,FC Est. Ann. EPS Surprise %,LTP,Market Cap,PE TTM,PBV,PEG TTM,Net Profit QoQ Growth %,Revenue QoQ Growth %,Latest Financial Result
SAIL,37.32%,141.4,"58,405.6",22.85,1.01,20.15,-43.76%,3.02%,"30 Sep, 2025"
Delhivery,37.42%,441.2,"32,991.9",238.7,3.56,0.14,-155.33%,11.57%,"30 Sep, 2025"
Ambuja Cements,40.59%,561.05,"1,38,193.5",24.57,2.74,0.28,124.11%,-10.83%,"30 Sep, 2025"
NLC,40.79%,254.3,"35,262.2",13.5,1.88,0.32,-16.61%,9.22%,"30 Sep, 2025"
Dalmia Bharat Sugar,52.17%,318.6,"2,578.7",7.62,0.8,0.47,-39.22%,4.86%,"30 Sep, 2025"
Sheela Foam,52.84%,648.35,"7,048.3",122.9,2.32,-1.98,30.19%,6.52%,"30 Sep, 2025"
PNC Infratech,54.23%,268.65,"6,891.9",8.57,1.18,-0.24,-49.99%,-20.75%,"30 Sep, 2025"
Senores Pharmaceuticals,55%,796.55,"3,668.4",42.11,4.67,0.61,64.12%,17.23%,"30 Sep, 2025"
Bodal Chemicals,57%,57.5,724.2,20.43,0.67,0.01,-37.13%,5.78%,"30 Sep, 2025"
Control Print,66.59%,731.25,"1,169.6",11.46,3.29,0.11,117.02%,0.61%,"30 Sep, 2025"
Embassy Office Parks REIT,68.2%,419,"39,716.8",24.45,1.65,0.36,-253.53%,6.31%,"31 Mar, 2025"
Tube Investments,73.45%,3098.1,"59,951",95.82,11.24,-2.1,-6.14%,4.02%,"30 Sep, 2025"
Birla Corporation,73.83%,1184.5,"9,121.3",18.32,1.3,0.3,-24.33%,-10.09%,"30 Sep, 2025"
BlackBuck,107.87%,692.2,"12,527.6",42.46,30.31,0.23,-13.36%,5.24%,"30 Sep, 2025"
Max Estates,112.5%,462,"7,495.1",134.32,3.4,0.02,-36.54%,-5.25%,"30 Sep, 2025"
Spicejet,115.9%,37.71,"4,833.2",-9.81,-1.06,2.12,-165.68%,-29.26%,"30 Sep, 2025"
Utkarsh Small Finance,116.3%,16.9,"3,007.4",-3.99,0.77,0.02,-45.51%,-4.65%,"30 Sep, 2025"
Mangalore Refinery,136.25%,175.89,"30,826.5",29.74,2.38,2.08,331.79%,30.49%,"30 Sep, 2025"
Embassy Developments,170.43%,85.17,"11,767.7",-70.48,2.5,-1.36,7.86%,-27.58%,"30 Sep, 2025"
EFC I,182.8%,304.95,"3,035.9",20.54,6.34,0.31,29.68%,15.92%,"30 Sep, 2025"
Dilip Buildcon,212.03%,454.95,"6,652.1",9.55,1.44,0.2,-20.74%,-26.5%,"30 Sep, 2025"
Nuvoco Vistas,215.09%,367,"13,107.6",47.88,1.46,0.1,-72.64%,-14.45%,"30 Sep, 2025"
V-Mart Retail,425%,838.55,"6,661.4",57.99,8.22,0.19,-126.4%,-8.85%,"30 Sep, 2025"
Ventive Hospitality,581.51%,748.55,"17,481.8",73.84,3.64,0.39,95.18%,-3.57%,"30 Sep, 2025"
Biocon,"1,230.51%",418,"55,885.1",115.11,2.65,-1.74,169.11%,8.97%,"30 Sep, 2025"
