Stock,FC Est. Qtr Net Income Surprise %,LTP,Market Cap,PE TTM,PBV,PEG TTM,Net Profit QoQ Growth %,Revenue QoQ Growth %,Latest Financial Result
Neuland Laboratories,82.91%,17715,"22,728.2",94.64,16.29,-6.7,596.79%,75.67%,"30 Sep, 2025"
Wonderla Holidays,83.33%,536.7,"3,403.3",41.43,2.91,-1.02,-103.32%,-52.36%,"30 Sep, 2025"
GMM Pfaudler,88.32%,1193.9,"5,367.4",79.98,5.21,-2.2,271.57%,13.57%,"30 Sep, 2025"
Birla Corporation,105.12%,1184.5,"9,121.3",18.32,1.3,0.3,-24.33%,-10.09%,"30 Sep, 2025"
Bharat Heavy Electricals,116.2%,285.5,"99,412.9",177.99,4.02,1.3,182.3%,36.9%,"30 Sep, 2025"
Sandhar Technologies,121.69%,535.9,"3,225.6",18.54,3.02,0.55,161.94%,16.54%,"30 Sep, 2025"
Ventive Hospitality,124.66%,748.55,"17,481.8",73.84,3.64,0.39,95.18%,-3.57%,"30 Sep, 2025"
PG Electroplast,126.04%,577.2,"16,412.8",64.49,5.8,1.97,-95.88%,-56.42%,"30 Sep, 2025"
Nilkamal,131.52%,1485.2,"2,216.3",21.22,1.49,-2.19,120.28%,9.58%,"30 Sep, 2025"
Cyient DLM,135.01%,438.45,"3,479.7",40.36,3.71,1.43,330.72%,11.57%,"30 Sep, 2025"
Dixon Technologies,140.69%,15602,"94,413.5",64.36,42.36,0.61,197.82%,15.73%,"30 Sep, 2025"
NLC,145.11%,254.3,"35,262.2",13.5,1.88,0.32,-16.61%,9.22%,"30 Sep, 2025"
UPL,157.65%,768.5,"61,245.7",27.98,2.47,0.13,728.41%,30.41%,"30 Sep, 2025"
Ashoka Buildcon,232.57%,189.44,"5,318",3.85,1.88,0.09,-64.09%,-1.9%,"30 Sep, 2025"
SAIL,249.77%,141.4,"58,405.6",22.85,1.01,20.15,-43.76%,3.02%,"30 Sep, 2025"
Samhi Hotels,286.74%,183.74,"4,064.4",22.79,3.82,0.05,434.91%,7.63%,"30 Sep, 2025"
Adani Enterprises,288.86%,2441,"2,81,735.5",35.95,6.72,0.87,335.55%,-3.25%,"30 Sep, 2025"
Ambuja Cements,290.51%,561.05,"1,38,193.5",24.57,2.74,0.28,124.11%,-10.83%,"30 Sep, 2025"
Max Estates,334.52%,462,"7,495.1",134.32,3.4,0.02,-36.54%,-5.25%,"30 Sep, 2025"
Greenlam Industries,339.27%,265.5,"6,774.2",213.29,6.09,-2.89,310.48%,19.96%,"30 Sep, 2025"
Suzlon Energy,360.89%,57.53,"78,883.6",24.86,12.9,0.11,294.5%,23.6%,"30 Sep, 2025"
Ramco Systems,584.23%,616.5,"2,305",265.68,7.41,2.39,"1,238.26%",8.96%,"30 Sep, 2025"
Westlife Foodworld,835.01%,539.25,"8,408.9",224.41,13.93,3.06,"2,157.38%",-2.4%,"30 Sep, 2025"
Info Edge,"1,648.72%",1324.5,"85,883.3",65.15,2.06,0.36,6.92%,1.84%,"30 Sep, 2025"
Tata Motors PV,"2,175.63%",373.9,"1,37,682.4",1.46,1.19,0.01,"1,841.13%",-30.7%,"30 Sep, 2025"
