Stock,FC Est. Capex Growth YoY %,LTP,Market Cap,PE TTM,PBV,PEG TTM,Net Profit QoQ Growth %,Revenue QoQ Growth %,Latest Financial Result
Welspun Enterprises,436.67%,557.45,"7,715.9",22.22,3.16,1.34,-0.39%,-7.23%,"30 Sep, 2025"
KPIT Technologies,454.3%,1221.7,"33,492.2",43.35,13.38,6.99,-1.64%,3.18%,"30 Sep, 2025"
One Mobikwik Systems,480.93%,258.5,"2,033.3",-11.18,12.57,0,31.74%,-0.42%,"30 Sep, 2025"
Sastasundar Ventures,502.78%,297.1,945.1,-461.87,1.37,-4.77,-153.09%,0.97%,"30 Sep, 2025"
Indraprastha Medical,533.09%,546.55,"5,010.4",28.67,9.55,1.57,-3.89%,4.37%,"30 Sep, 2025"
Lloyds Metals & Energy,538.85%,1271.3,"67,188.5",37.22,11.61,1.62,-10.79%,53.19%,"30 Sep, 2025"
Gujarat Pipavav Port,546.74%,176.19,"8,517.7",17.86,3.67,0.6,54.07%,19.53%,"30 Sep, 2025"
DLF,612.27%,765.75,"1,89,547",44.25,4.71,2.35,54.73%,-39.52%,"30 Sep, 2025"
Nuvoco Vistas,617.51%,367,"13,107.6",47.88,1.46,0.1,-72.64%,-14.45%,"30 Sep, 2025"
Indegene,632.33%,513,"12,316.1",27.63,5.22,1.41,-12.29%,5.7%,"30 Sep, 2025"
MphasiS,706.9%,2703.4,"51,385.4",28.79,5.93,2.41,6.2%,4.54%,"30 Sep, 2025"
Just Dial,750.08%,740.2,"6,295",11.08,1.46,0.86,-25.2%,1.74%,"30 Sep, 2025"
PNC Infratech,768.32%,268.65,"6,891.9",8.57,1.18,-0.24,-49.99%,-20.75%,"30 Sep, 2025"
Quess Corp,987.84%,216.92,"3,235.7",36.98,1.11,-0.49,1.35%,4.93%,"30 Sep, 2025"
Tilaknagar Industries,993.29%,491.45,"10,231.7",37.55,13.45,0.66,-40.48%,-2.67%,"30 Sep, 2025"
Nexus Select Trust,"1,027.91%",163.14,"24,715.7",53.4,1.65,-1.9,4.64%,5.73%,"30 Jun, 2025"
Spicejet,"1,115.71%",37.71,"4,833.2",-9.81,-1.06,2.12,-165.68%,-29.26%,"30 Sep, 2025"
Maharashtra Seamless,"1,192.55%",563.5,"7,550.9",9.64,1.19,-1.36,-45.61%,1.17%,"30 Sep, 2025"
Orient Cement,"1,324.98%",186.5,"3,831.8",12.49,2.12,0.12,-76.1%,-25.75%,"30 Sep, 2025"
Gateway Distriparks,"1,527.57%",60.19,"3,007.4",7.72,1.52,0.11,11.15%,3.07%,"30 Sep, 2025"
Anant Raj,"1,714.63%",634.1,"22,819.8",46.29,5.48,1.1,9.72%,6.48%,"30 Sep, 2025"
Privi Speciality,"1,722.19%",3290.5,"12,853.6",48.18,11.65,0.51,51.64%,21.46%,"30 Sep, 2025"
Puravankara,"2,290.93%",255.35,"6,055.6",-21.05,3.49,0.04,38.25%,22.85%,"30 Sep, 2025"
Nitin Spinners,"2,471.76%",330.9,"1,860.3",11.15,1.53,1.48,-15.13%,-4.19%,"30 Sep, 2025"
R Systems Intl,"6,573.38%",406.95,"4,818",25.52,7.72,0.69,-53.41%,7.92%,"30 Sep, 2025"
