Stock,FC Est. 1Y fwd Ann. Revenue Growth %,LTP,Market Cap,PE TTM,PBV,PEG TTM,Net Profit QoQ Growth %,Revenue QoQ Growth %,Latest Financial Result
Anupam Rasayan,54.69%,1094.1,"12,456.1",82.39,4.47,0.71,30.43%,50.55%,"30 Sep, 2025"
DEE Development,54.71%,230.25,"1,594.8",32.38,2.04,5.18,35.33%,20.67%,"30 Sep, 2025"
Kaynes Technology,54.79%,6246.5,"41,824.8",110.45,16.07,1.86,62.73%,34.56%,"30 Sep, 2025"
V2 Retail,55.32%,2372,"8,649.2",86.91,29.77,0.62,-30.14%,12.09%,"30 Sep, 2025"
Prestige Estates,57.09%,1749.7,"75,364.9",98.45,4.55,7.94,47.11%,5.39%,"30 Sep, 2025"
Infibeam Avenues,58.88%,19.76,"6,217.3",25.98,1.52,1.57,8.6%,53.48%,"30 Sep, 2025"
Signatureglobal,61.25%,1103.5,"15,505.4",199.38,24.36,4.59,-236.15%,-60.9%,"30 Sep, 2025"
Puravankara,63.22%,255.35,"6,055.6",-21.05,3.49,0.04,38.25%,22.85%,"30 Sep, 2025"
Suzlon Energy,63.37%,57.53,"78,883.6",24.86,12.9,0.11,294.5%,23.6%,"30 Sep, 2025"
Waaree Energies,63.52%,3301,"94,950.3",35.18,10.02,0.35,13.06%,37.05%,"30 Sep, 2025"
RateGain Travel,65.58%,707.8,"8,357.7",39.93,5.37,3.53,8.69%,8.11%,"30 Sep, 2025"
Aster DM Healthcare,69.53%,675.55,"35,001.7",105.64,10.13,-1.13,28.62%,11.07%,"30 Sep, 2025"
NTPC Green Energy,69.77%,98.85,"83,294.3",137.25,4.52,1.45,-60.27%,-9.99%,"30 Sep, 2025"
ideaForge Technology,73.12%,512.8,"2,217.9",-23.87,3.39,0.03,16.71%,218.94%,"30 Sep, 2025"
JSW Energy,83.74%,528.6,"92,387",45.65,3.3,13.54,-5.17%,0.66%,"30 Sep, 2025"
Inox Wind,88.02%,145.45,"25,137.2",49.67,3.56,0.31,-13.35%,35.45%,"30 Sep, 2025"
Genus Power,88.16%,338.4,"10,291.1",22.36,5.5,0.1,4.12%,21.92%,"30 Sep, 2025"
Mahindra Lifespace,93.52%,390.5,"8,329.9",51.51,2.46,1.49,-6.52%,-45.07%,"30 Sep, 2025"
Netweb Technologies,125.32%,3374.1,"19,115.6",141.36,41.92,3.56,3.13%,0.83%,"30 Sep, 2025"
Lloyds Metals & Energy,135.95%,1271.3,"67,188.5",37.22,11.61,1.62,-10.79%,53.19%,"30 Sep, 2025"
PTC Industries,136.95%,17191,"25,759.2",414.73,18.58,10.91,251.82%,28.29%,"30 Sep, 2025"
Eternal,175.77%,307.5,"2,96,748.3","1,578.46",9.77,-21.14,160%,89.62%,"30 Sep, 2025"
Sudarshan Chemical,199.05%,1020.1,"8,018.7",144.96,6.61,-2.5,-75.21%,-4.77%,"30 Sep, 2025"
Hubtown,204.31%,331.6,"4,712.1",36.88,2.05,0.12,-69.65%,11.26%,"30 Sep, 2025"
TARC,"2,767.44%",141.55,"4,177.1",-44.1,4.01,-0.91,-129.05%,-90.95%,"30 Sep, 2025"
