Stock,FC Est. 1Y fwd EPS Growth Ann. %,LTP,Market Cap,PE TTM,PBV,PEG TTM,Net Profit QoQ Growth %,Revenue QoQ Growth %,Latest Financial Result
Praj Industries,-43.56%,331.4,"6,091.6",57.72,4.41,-0.89,261.19%,31.46%,"30 Sep, 2025"
Orchid Pharma,-47.84%,803.7,"4,076.3",78.01,3.33,-1.39,-138.39%,11.91%,"30 Sep, 2025"
Jindal Saw,-50.04%,169.13,"10,816",7.87,1.07,-0.26,-64.18%,3.65%,"30 Sep, 2025"
GRP,-51.19%,1967.7,"1,049.4",38.11,6.28,1.86,12.07%,6.96%,"30 Sep, 2025"
Camlin Fine Sciences,-52.63%,165.67,"3,114.3",-106.63,3.41,-1.23,-44.41%,8.56%,"30 Sep, 2025"
I G Petrochemicals,-57.21%,383.35,"1,180.5",36.32,0.88,-0.89,84.57%,-1%,"30 Sep, 2025"
Gokaldas Exports,-57.81%,917.6,"6,720.5",43.99,3.45,2.52,-80.51%,2.99%,"30 Sep, 2025"
Imagicaaworld,-58.9%,51.26,"2,900.6",119.1,2.64,-1.85,-187.8%,-71.77%,"30 Sep, 2025"
Dilip Buildcon,-59.79%,465.95,"6,812.9",9.78,1.48,0.21,-20.74%,-26.5%,"30 Sep, 2025"
Sundrop Brands,-65.38%,765.5,"2,885.7",-26.74,2.01,0.01,-148.49%,3%,"30 Sep, 2025"
Welspun Living,-67.22%,138.33,"13,268",37.57,2.75,-0.75,-85.17%,7.98%,"30 Sep, 2025"
Ganesha Ecosphere,-67.4%,972.2,"2,605.1",40.89,2.38,-1.69,-104.65%,7.79%,"30 Sep, 2025"
Greenpanel Industries,-68.86%,272,"3,335.5","-1,058.12",2.47,10.23,81.46%,20.65%,"30 Sep, 2025"
Piramal Pharma,-70.59%,194.03,"25,791.4","-1,086.39",3.26,7.13,-21.44%,5.69%,"30 Sep, 2025"
Hikal,-72.83%,230.78,"2,845.5",281.74,2.25,-3.27,-55.8%,-16.27%,"30 Sep, 2025"
KNR Constructions,-74.26%,168.21,"4,730.7",7.68,1.14,-0.17,-15.19%,5.51%,"30 Sep, 2025"
AG Ventures,-74.57%,147.55,147.4,24.14,0.55,-0.31,-93.6%,43.31%,"30 Sep, 2025"
Tata Motors PV,-75.56%,391.2,"1,44,052.8",1.53,1.24,0.01,"1,841.13%",-30.7%,"30 Sep, 2025"
Electrosteel Castings,-78.22%,80.63,"4,984.4",10.05,0.86,-0.23,-12.09%,-10.39%,"30 Sep, 2025"
Raymond,-89.8%,522.35,"3,477.5",0.63,0.97,-0.02,-99.79%,0.65%,"30 Sep, 2025"
Century Textiles,-136.22%,1744.6,"19,486.4",-91.57,4.81,0.29,38.2%,-32.78%,"30 Sep, 2025"
Max Estates,-168.82%,465.55,"7,552.7",135.35,3.43,0.02,-36.54%,-5.25%,"30 Sep, 2025"
Embassy Developments,-192.59%,84.22,"11,636.5",-69.69,2.47,-1.35,7.86%,-27.58%,"30 Sep, 2025"
Spicejet,-638.18%,35.48,"4,547.4",-9.23,-1,2,-165.68%,-29.26%,"30 Sep, 2025"
Utkarsh Small Finance,"-1,009.09%",16.3,"2,900.6",-3.85,0.74,0.01,-45.51%,-4.65%,"30 Sep, 2025"
