Stock,FC Est. Qtr Revenue Surprise %,LTP,Market Cap,PE TTM,PBV,PEG TTM,Net Profit QoQ Growth %,Revenue QoQ Growth %,Latest Financial Result
Schneider Electric,-24.09%,797.2,"19,061.4",73.68,39.93,2.35,26.87%,4.59%,"30 Sep, 2025"
NBCC,-24.52%,114.14,"30,817.8",51.36,13.85,1.92,16.19%,21.71%,"30 Sep, 2025"
Supriya Lifescience,-24.83%,789.7,"6,355.7",34.85,7.02,2.21,44.95%,37.75%,"30 Sep, 2025"
JNK,-25.09%,283.75,"1,587.7",52.52,3.18,-1.05,"1,055.55%",79.88%,"30 Sep, 2025"
Zen Technologies,-26.22%,1434.4,"12,951.3",52.24,8.3,2.5,24.39%,9.7%,"30 Sep, 2025"
Archean Chemical,-27.27%,627.55,"7,745.7",45.35,4.39,-2.04,-27.61%,-20.24%,"30 Sep, 2025"
DLF,-27.71%,764.85,"1,89,324.2",44.2,4.71,2.34,54.73%,-39.52%,"30 Sep, 2025"
Spandana Sphoorty,-29.3%,275.95,"2,206.8",-1.49,0.78,0,30.84%,-23.6%,"30 Sep, 2025"
Transformers & Rectifiers,-31.06%,318.2,"9,551.3",38.18,8.66,0.36,-49.65%,-13.09%,"30 Sep, 2025"
Chennai Petroleum,-32.26%,1029,"15,323",13.1,1.87,0.21,"1,893.49%",10.23%,"30 Sep, 2025"
Hikal,-32.31%,230.78,"2,845.5",281.74,2.25,-3.27,-55.8%,-16.27%,"30 Sep, 2025"
Easy Trip Planners,-32.71%,7.95,"2,817.5",159.9,4.66,-2,"-2,569.79%",4%,"30 Sep, 2025"
Century Textiles,-33.4%,1744.6,"19,486.4",-91.57,4.81,0.29,38.2%,-32.78%,"30 Sep, 2025"
Godrej Properties,-36.26%,2195.8,"66,138.9",42.67,3.82,3.68,-32.5%,70.37%,"30 Sep, 2025"
Dreamfolks Services,-38.37%,120.45,641.6,9.93,2.42,-1.04,-47.2%,-41.1%,"30 Sep, 2025"
Blue Jet Healthcare,-38.52%,576,"9,991.6",28.35,10.81,0.26,-42.81%,-53.35%,"30 Sep, 2025"
Astec Lifesciences,-38.57%,631.85,"1,407.9",-12.36,2.98,1.24,26.06%,-19.06%,"30 Sep, 2025"
MTAR Technologies,-41.07%,2626.6,"8,079.3",180.57,11.55,11.17,-60.74%,-13.41%,"30 Sep, 2025"
Arvind SmartSpaces,-44.42%,607.4,"2,786",30.2,5.29,0.87,26.79%,38.08%,"30 Sep, 2025"
DCX Systems,-59.42%,207.1,"2,306.8",89.65,1.72,-1.7,-322.77%,-13.19%,"30 Sep, 2025"
Signatureglobal,-59.57%,1112.4,"15,630.4",200.99,24.55,4.63,-236.15%,-60.9%,"30 Sep, 2025"
Kolte-Patil Developers,-76.8%,415.6,"3,685.5",58.34,4.37,0.31,38.61%,68.36%,"30 Sep, 2025"
Mahindra Lifespace,-83.4%,392.2,"8,366.2",51.73,2.47,1.5,-6.52%,-45.07%,"30 Sep, 2025"
AG Ventures,-90.76%,147.55,147.4,24.14,0.55,-0.31,-93.6%,43.31%,"30 Sep, 2025"
TARC,-91.41%,141.07,"4,162.9",-43.95,3.99,-0.91,-129.05%,-90.95%,"30 Sep, 2025"
